-182.919, 78.082, 1.863,  1.765
-182.899, 78.026, 1.798,  1.798
-182.880, 77.971, 1.746,  1.831
-182.860, 77.918, 1.701,  1.864
-182.842, 77.866, 1.667,  1.897
-182.823, 77.814, 1.648,  1.930
-182.804, 77.763, 1.645,  1.963
-182.786, 77.711, 1.660,  1.996
-182.767, 77.658, 1.691,  2.029
-182.748, 77.603, 1.736,  2.062
-182.729, 77.546, 1.791,  2.095
-182.710, 77.488, 1.854,  2.128
-182.690, 77.427, 1.919,  2.161
-182.670, 77.364, 1.986,  2.194
-182.650, 77.298, 2.044,  2.227
-182.631, 77.232, 2.070,  2.260
-182.611, 77.166, 2.071,  2.293
-182.593, 77.100, 2.054,  2.326
-182.574, 77.035, 2.024,  2.359
-182.556, 76.971, 1.985,  2.392
-182.539, 76.909, 1.923,  2.425
-182.523, 76.849, 1.872,  2.458
-182.507, 76.791, 1.828,  2.491
-182.491, 76.733, 1.796,  2.524
-182.476, 76.676, 1.779,  2.557
-182.460, 76.619, 1.777,  2.590
-182.445, 76.561, 1.793,  2.623
-182.430, 76.502, 1.825,  2.656
-182.414, 76.442, 1.868,  2.689
-182.399, 76.380, 1.922,  2.722
-182.383, 76.316, 1.982,  2.755
-182.367, 76.249, 2.046,  2.788
-182.352, 76.181, 2.104,  2.821
-182.336, 76.111, 2.128,  2.854
-182.320, 76.042, 2.126,  2.887
-182.305, 75.973, 2.107,  2.920
-182.291, 75.905, 2.075,  2.953
-182.277, 75.839, 2.021,  2.986
-182.264, 75.775, 1.974,  3.019
-182.251, 75.712, 1.934,  3.052
-182.238, 75.650, 1.905,  3.085
-182.225, 75.588, 1.890,  3.118
-182.213, 75.526, 1.891,  3.151
-182.201, 75.464, 1.909,  3.184
-182.189, 75.400, 1.942,  3.217
-182.177, 75.335, 1.987,  3.250
-182.164, 75.268, 2.042,  3.283
-182.152, 75.199, 2.103,  3.316
-182.139, 75.128, 2.166,  3.349
-182.127, 75.055, 2.218,  3.382
-182.115, 74.981, 2.236,  3.415
-182.103, 74.907, 2.228,  3.448
-182.091, 74.835, 2.204,  3.481
-182.080, 74.763, 2.168,  3.514
-182.069, 74.694, 2.108,  3.547
-182.058, 74.626, 2.056,  3.580
-182.048, 74.559, 2.015,  3.613
-182.039, 74.494, 1.985,  3.646
-182.029, 74.429, 1.969,  3.679
-182.020, 74.364, 1.969,  3.712
-182.011, 74.299, 1.988,  3.745
-182.001, 74.232, 2.023,  3.778
-181.992, 74.164, 2.071,  3.811
-181.983, 74.093, 2.131,  3.844
-181.973, 74.020, 2.196,  3.877
-181.964, 73.946, 2.257,  3.910
-181.954, 73.869, 2.314,  3.943
-181.945, 73.791, 2.358,  3.976
-181.936, 73.712, 2.370,  4.009
-181.927, 73.634, 2.357,  4.042
-181.918, 73.557, 2.328,  4.075
-181.910, 73.481, 2.287,  4.108
-181.902, 73.407, 2.223,  4.141
-181.894, 73.335, 2.166,  4.174
-181.887, 73.265, 2.121,  4.207
-181.880, 73.196, 2.090,  4.240
-181.873, 73.127, 2.073,  4.273
-181.866, 73.059, 2.073,  4.306
-181.859, 72.989, 2.092,  4.339
-181.853, 72.919, 2.128,  4.372
-181.846, 72.846, 2.180,  4.405
-181.839, 72.772, 2.241,  4.438
-181.832, 72.695, 2.303,  4.471
-181.825, 72.617, 2.362,  4.504
-181.819, 72.536, 2.417,  4.537
-181.812, 72.455, 2.461,  4.570
-181.805, 72.372, 2.473,  4.603
-181.799, 72.290, 2.460,  4.636
-181.793, 72.209, 2.430,  4.669
-181.787, 72.130, 2.376,  4.702
-181.781, 72.053, 2.325,  4.735
-181.776, 71.977, 2.283,  4.768
-181.770, 71.903, 2.253,  4.801
-181.765, 71.828, 2.240,  4.834
-181.760, 71.754, 2.243,  4.867
-181.755, 71.679, 2.263,  4.900
-181.750, 71.602, 2.299,  4.933
-181.745, 71.524, 2.347,  4.966
-181.740, 71.444, 2.398,  4.999
-181.735, 71.363, 2.451,  5.032
-181.730, 71.279, 2.502,  5.065
-181.726, 71.195, 2.551,  5.098
-181.721, 71.108, 2.589,  5.131
-181.716, 71.022, 2.598,  5.164
-181.712, 70.936, 2.581,  5.197
-181.707, 70.851, 2.547,  5.230
-181.703, 70.768, 2.490,  5.263
-181.699, 70.687, 2.436,  5.296
-181.695, 70.607, 2.389,  5.329
-181.691, 70.529, 2.357,  5.362
-181.688, 70.451, 2.341,  5.395
-181.684, 70.373, 2.345,  5.428
-181.681, 70.295, 2.367,  5.461
-181.677, 70.215, 2.404,  5.494
-181.674, 70.133, 2.450,  5.527
-181.670, 70.050, 2.501,  5.560
-181.667, 69.965, 2.553,  5.593
-181.664, 69.878, 2.605,  5.626
-181.660, 69.790, 2.656,  5.659
-181.657, 69.700, 2.703,  5.692
-181.654, 69.608, 2.740,  5.725
-181.650, 69.517, 2.748,  5.758
-181.647, 69.426, 2.729,  5.791
-181.644, 69.336, 2.686,  5.824
-181.641, 69.248, 2.640,  5.857
-181.639, 69.162, 2.598,  5.890
-181.636, 69.077, 2.566,  5.923
-181.633, 68.992, 2.550,  5.956
-181.631, 68.907, 2.552,  5.989
-181.629, 68.822, 2.571,  6.022
-181.626, 68.735, 2.602,  6.055
-181.624, 68.647, 2.641,  6.088
-181.621, 68.558, 2.685,  6.121
-181.619, 68.467, 2.730,  6.154
-181.617, 68.374, 2.775,  6.187
-181.614, 68.280, 2.819,  6.220
-181.612, 68.185, 2.860,  6.253
-181.610, 68.089, 2.892,  6.286
-181.608, 67.992, 2.895,  6.319
-181.605, 67.896, 2.871,  6.352
-181.603, 67.802, 2.825,  6.385
-181.601, 67.710, 2.775,  6.418
-181.600, 67.619, 2.729,  6.451
-181.598, 67.529, 2.693,  6.484
-181.596, 67.440, 2.673,  6.517
-181.594, 67.352, 2.671,  6.550
